north   east   zone   longitude   latitude
4475360  440100  30  -3.7061486381994078  40.4267192021832
4473846  443960  30  -3.6605134609254155  40.4133492333852
4477258  440632  30  -3.700054757719159  40.443855373765835
4472069  434921  30  -3.7668611901217464  40.39668370765227
4471170  440111  30  -3.7056246492507667  40.38897445848729
4475118  443392  30  -3.6673209581031325  40.42476965450273
4474159  438409  30  -3.7259656720234684  40.41577661722542
4464745  438128  30  -3.7283638245795223  40.33094985340713
4469823  441038  30  -3.694578660788448  40.37690608177278
4470831  440873  30  -3.6966157747198416  40.38597500023969
4473543  440638  30  -3.6996371342588086  40.41038936379051
4483828  441203  30  -3.693931148469898  40.50308115037368
4469263  441176  30  -3.6929014410145413  40.37187104125168
4475710  446390  30  -3.6320311828342184  40.43030131944224
4476838  441463  30  -3.690217762657754  40.44013074360981
4481036  439433  30  -3.7145526057468268  40.47780256102402
4482000  440145  30  -3.7062442461940837  40.48653824751252
4479575  442815  30  -3.674523707564098  40.46488100469843
4476012  439380  30  -3.714698122351189  40.43254054612654
4474831  440245  30  -3.70438967209448  40.421964155423055
4480933  444794  30  -3.6513001200932944  40.47724838389344
4482717  449835  30  -3.591972597928166  40.4936394728168
4483172  438597  30  -3.724621681611506  40.496982939395416
4464784  426752  30  -3.8622745366027864  40.330380472954964
4473386  439776  30  -3.709781023648202  40.40891311544274
4487203  446281  30  -3.6342899542092253  40.53382895170014
4459646  432197  30  -3.7976375029896356  40.28455510033955
4476946  443104  30  -3.670879455848034  40.44121756203485
4475278  439906  30  -3.7084277476619443  40.425966518699234
4476943  439577  30  -3.7124642267075627  40.44094172226247
4474625  442541  30  -3.677307728221562  40.42027012108849
4478187  440471  30  -3.702040178257535  40.45221268947847
4475413  441493  30  -3.6897328704951864  40.42729578322735
4474601  440787  30  -3.697979633298421  40.4199309531472
4474728  441152  30  -3.6936892080823203  40.421100923459406
4478625  440499  30  -3.701751039270278  40.45616038079254
4465984  455537  30  -3.52351916250207  40.34322075224668
4470901  439135  30  -3.71709753484927  40.386480435878966
4480138  451828  30  -3.5682593472532496  40.47052434642597
4476804  442722  30  -3.675370645632385  40.43991213060305
4477814  440421  30  -3.7025948023766206  40.44884896614328
4475675  443344  30  -3.667936405612731  40.429784134147944
4472377  443332  30  -3.6677840809372806  40.400073146629616
4475043  455531  30  -3.5242220930244175  40.424831386683145
4476897  440327  30  -3.703617086261166  40.4405814956272
4485398  443963  30  -3.661498281235115  40.51741534311223
4475762  441035  30  -3.6951641806312723  40.43040740249345
4472935  441200  30  -3.6929577179682154  40.40495208065612
4476519  445588  30  -3.6415550083762915  40.43753716954488
4477752  439706  30  -3.711020054614813  40.44823889274584
4472721  442819  30  -3.6738598544927044  40.403137019366376
4474817  440572  30  -3.700533974204374  40.42186145604926
4470570  447082  30  -3.623445951174901  40.384041260210836
4483147  441399  30  -3.6915550857437025  40.49696032069065
4479745  441183  30  -3.6937883448788797  40.46629850202613
4469942  437786  30  -3.7328962910921666  40.37774166871365
